Last name,First name,Affiliation
Athey,Brian,U Michigan
Harkness,Alaina,MacArthur Foundation
Inzerillo,Joe,MLB Advanced Media
Joskow,Paul,Sloan Foundation
Kalil,Tom,White Houst OSTP
Kelly,Henry,U Michigan
King,Gary,Harvard University
Klosowski,James,AT&T Research
Koonin,Steve,NYU
Lynch,Michael,Indiana University
Madden,Sam,MIT
Merrill Brown,Lucas,White House DIgital Services
Mesirov,Jill,MIT
Migurski,Michal,Code for America
Moss,Mitch,NYU
Norman,Michael,San Diego Supercomputer Center
Noveck,Beth,GovLab
Porway,Jake,DataKind
Rives,Alex,Simons Center for Data Analysis
Romer,Paul,NYU
Roth,Jeffrey,NYC Taxi and Limousine Commission
Sandberg,Brian,DARPA
Shah,Viral,Julia Computing
Smith,Kevin,University of Michigan
Spiropulu,Maria,Caltech
Stachurski,John,QuantEcon
Stodden,Victoria,University of Illinois
Thaney,Kaitlin,Mozilla Foundation
Traynor,Jessica,Siegel Endowment
Tucker,Joshua,NYU
Ubois,Jeff,MacArthur Foundation
Van Dall,Dirk,MLB Advanced Media
Wesler,Jeff,IBM
Zheng,Tian,Columbia University
