First name,Last name,Affiliation
Nabeel,Abdur Rehman,New York University
Nick,Adams,University of California at Berkeley
Gabrielle,Allen,"University of Illinois, NCSA"
Chid,Apte,IBM
Brian,Athey,U Michigan
Magdalena,Balazinska,University of Washington
Kyle,Barbary,University of California at Berkeley
Rebecca,Barter,University of California at Berkeley
Chaitanya,Baru,National Science Foundation
Nathaniel,Beck,New York University
Vicky,Been,NYU
Enrico,Bertini,NYU
Michael,Beyeler,University of Washington
Holly,Bik,UC Riverside
Rahul,Biswas,University of Washington
Josh,Bloom,UC Berkeley
Joshua,Bloom,University of California at Berkeley
Amber,Boehnlein,Thomas Jefferson National Accelerator Facility
Judith,Boldt,UT Southwestern Medical Center
Richard,Bonneau,New York University
Christine,Borgman,UCLA
Christian,Borgs,Microsoft Research
Felix,Borutta,University of California at Berkeley
Sam,Bowman,New York University
Danah,Boyd,Data and Society
Henry,Brady,University of California at Berkeley
Steve,Brewer,Edison EU
Jeffrey,Brock,Brown University
Robin,Brooks,University of Washington
Meredith,Broussard,New York University
Meredith,Broussard,NYU
C. Titus,Brown,UC Davis
Elizabeth,Bruce,Microsoft Research
Robert,Brunner,University of Illinois
Stuart,Buck,Arnold Foundation
Matthias,Bussonnier,University of California at Berkeley
Charlotte,Cabasse,University of California at Berkeley
Emmanuel,Candes,Stanford Univeristy
Yi,Cao,University of Washington
Cathryn,Carson,University of California at Berkeley
Natalie,Caulk,Moore Foundation
Ugur,Cetintemel,Brown University
Sunandan,Chakraborty,New York University
Jennifer,Chayes,Microsoft Research
Fernando,Chirigati,New York University
Alex,Chohlas-Wood,NYPD
Garret,Christensen,University of California at Berkeley
Rumi,Chunara,New York University
Rumi,Chunara,NYU
Andrew,Connolly,University of Washington
Jonathan,Cornelissen,Data Camp
Thiago,Costa,University of Washington
Kyle,Cranmer,New York University
Merce,Crosas,Harvard University
Aaron,Culich,University of California at Berkeley
Mark,Cullen,Stanford Univeristy
Chihoko,Cullens,University of California at Berkeley
David,Culler,University of California at Berkeley
Susan,Davidson,University of Pennsylvania
Neil,Davies,University of California at Berkeley
Harrison,Dekker,University of California at Berkeley
Vasant,Dhar,New York University
Cyrus,Dioun,University of California at Berkeley
Alan,Edelman,MIT / Julia
Evgeniy,Faerman,University of California at Berkeley
Stuart,Feldman,Schmidt Philanthropies
Ali ,Ferguson,University of California at Berkeley
Michael,Fire,University of Washington
Caitlyn,Fox,Chan Zuckerberg Initiative
Mike,Franklin,University of Chicago
Alexander,Franks,University of Washington
Jeremy,Freeman,Janelia Research Center
Juliana,Freire,New York University
Christian Maximilian Michael,Frey,University of California at Berkeley
Gerald,Friedland,University of California at Berkeley
Stuart,Geiger,University of California at Berkeley
Andrew,Gelman,Columbia University
Guido,Gerig,NYU
Michael,Gill,New York University
Sharon,Gillett,Microsoft Research
Bruno,Goncalves,New York University
Alyssa,Goodman,Harvard University
Daniel,Goroff,Sloan Foundation
Ingrid,Gould-Ellen,NYU
Brian,Granger,Cal Poly
Michael,Grant,Continuum
Jessica,Green,University of Oregon
Ed,Green,UC Santa Cruz
Casey,Greene,University of Pennsylvania
Leslie,Greengard,Simons Foundation
Andrew,Guess,New York University
todd,gureckis,New York University
Robert,Haines,Software Sustainability Institute
Joe,Hand,Dat
Alaina,Harkness,MacArthur Foundation
Bryna,Hazelton,University of Washington
Joseph,Hellerstein,University of Washington
Justin,Hendrix,NYC Media Lab
Bernease,Herman,University of Washington
Simon,Hettrick,Software Sustainability Institute
Andrew,Hill,CartoDB
Daniel,Himmelstein,University of Pennsylvania
David,Hogg,New York University
Chris,Holdgraf,University of California at Berkeley
Chuck,Holmes,NASA
Vasant,Honavar,Penn Statue University
Felipe,Horta,New York University
Bill,Howe,University of Washington
Daniela,Huppenkothen,New York University
Joe,Inzerillo,MLB Advanced Media
Vaughn,Iverson,University of Washington
Anna,Jefferson,Abt
Andrea,Jones-Rooy,New York University
Paul,Joskow,Sloan Foundation
Mario,Juric,University of Washington
Eurika,Kaiser,University of Washington
Tom,Kalil,White Houst OSTP
Stefan,Karpinski,New York University
Luba,Katz,Abt
Dan,Katz,
Henry,Kelly,U Michigan
Gary,King,Harvard University
Carl,Kingsford,Carnegie Mellon University
Julia,Klebanov,Moore Foundation
Kerstin,Kleese Van Dam,Brookhaven National Laboratory
James,Klosowski,AT&T Research
Steve,Koonin,NYU
Flip,Korn,Google
Jey,Kottalam,University of California at Berkeley
Kevin,Koy,University of California at Berkeley
Jim,Kurose,National Science Foundation
Thomas,Laetsch,New York University
Erika,Lage,New York University
Carl,Lagoze,U Michigan
Brenden,Lake,New York University
Meagan,Lang,University of Illinois
Laurel,Larsen,UC Berkeley
Mik,Laver,New York University
Ed,Lazowska,University of Washington
Yann,LeCun,New York University
Roy,Lederman,Princeton Univeristy
Meredith,Lee,UC Berkeley
Serena,Liu,University of Washington
Giuseppe,Longo,"Centre Cavaillès (République des Savoirs), CNRS, Collège de France & Ecole Normale Supérieure, Paris "
Michael,Lynch,Indiana University
Sam,Madden,MIT
Jose Manuel,MAGALLANES,University of Washington
Michael,Mahoney,University of California at Berkeley
Guillaume,Marcais,Carnegie Mellon University
Emily,Mathis,New York University
Rich  ,Mauch,New York University
Tyler,McCormick,University of Washington
Brian,McFee,New York University
Kathleen,McKeown,Columbia University
Meredith,McPhail,Arnold Foundation
Xiaofeng,Meng,University of Washington
Chris,Mentzel,Moore Foundation
Lucas,Merrill Brown,White House DIgital Services
Jill,Mesirov,MIT
Michal,Migurski,Code for America
Erik,Mitchell,University of California at Berkeley
Dmitriy,Morozov,University of California at Berkeley
Mitch,Moss,NYU
Heiko,Mueller,New York University
Jenny,Muilenburg,University of Washington
Kevin,Munger,New York University
Robert,Nadeau,University of California at Berkeley
jonathan,nagler,New York University
